"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"323",238,"Mouse","NP",NA,45.8941407216667,FALSE
"324",239,"Mouse","NP",1160.854561,45.8941407216667,TRUE
"325",240,"Mouse","NP",NA,45.8941407216667,FALSE
"326",241,"Mouse","NP",NA,45.8941407216667,FALSE
"327",242,"Mouse","NP",NA,45.8941407216667,FALSE
"328",243,"Mouse","NP",NA,45.8941407216667,FALSE
"329",244,"Mouse","NP",NA,45.8941407216667,FALSE
"330",245,"Mouse","NP",211.669366,45.8941407216667,TRUE
"331",248,"Mouse","NP",NA,45.8941407216667,FALSE
"332",253,"Mouse","NP",NA,45.8941407216667,FALSE
"333",254,"Mouse","NP",NA,45.8941407216667,FALSE
"334",257,"Mouse","NP",NA,45.8941407216667,FALSE
"335",259,"Mouse","NP",94.32261354,45.8941407216667,TRUE
"336",260,"Mouse","NP",NA,45.8941407216667,FALSE
"337",261,"Mouse","NP",NA,45.8941407216667,FALSE
"338",262,"Mouse","NP",16.08427518,45.8941407216667,FALSE
"339",263,"Mouse","NP",NA,45.8941407216667,FALSE
"340",264,"Mouse","NP",NA,45.8941407216667,FALSE
"341",265,"Mouse","NP",NA,45.8941407216667,FALSE
"342",266,"Mouse","NP",NA,45.8941407216667,FALSE
"343",268,"Mouse","NP",NA,45.8941407216667,FALSE
"344",269,"Mouse","NP",NA,45.8941407216667,FALSE
"345",271,"Mouse","NP",NA,45.8941407216667,FALSE
"346",272,"Mouse","NP",40.75266917,45.8941407216667,FALSE
"347",275,"Mouse","NP",NA,45.8941407216667,FALSE
"348",276,"Mouse","NP",NA,45.8941407216667,FALSE
"349",277,"Mouse","NP",NA,45.8941407216667,FALSE
"350",278,"Mouse","NP",1623.734926,45.8941407216667,TRUE
"351",279,"Mouse","NP",53.84141281,45.8941407216667,TRUE
"352",280,"Mouse","NP",NA,45.8941407216667,FALSE
"353",284,"Mouse","NP",NA,45.8941407216667,FALSE
"354",285,"Mouse","NP",9.48752783,45.8941407216667,FALSE
"355",287,"Mouse","NP",4.968331076,45.8941407216667,FALSE
"356",289,"Mouse","NP",9.239962783,45.8941407216667,FALSE
"357",291,"Mouse","NP",NA,45.8941407216667,FALSE
"358",292,"Mouse","NP",NA,45.8941407216667,FALSE
"359",293,"Mouse","NP",5.096195814,45.8941407216667,FALSE
"360",294,"Mouse","NP",5.223884344,45.8941407216667,FALSE
